Species	Commodities
Peach rosette mosaic virus	Blueberry/Vitis/Stonefruit
Peach virus D	Stonefruit
Peanut bud necrosis virus	Peanuts
Peanut clump furovirus	Grains/Peanuts
Peanut clump pecluvirus	Grains/Peanuts
Peanut clump virus	Grains/Sugarcane
Peanut stripe potyvirus	Lupins/Peanuts
Peanut stripe virus	Lupins/Peanuts
Peanut stunt cucumovirus	Lupins/Peanuts
Peanut stunt virus	Lupins/Peanuts
Pear chlorotic leaf spot associated virus	Pome
Pearl millet mosaic potyvirus	Clonal grasses
Pearl millet mosaic virus	Clonal grasses
Pepino mosaic virus	Potato
Petunia asteroid mosaic tombusvirus	Vitis/Stonefruit
Petunia asteroid mosaic virus	Vitis/Stonefruit
Plum pox potyvirus	Stonefruit
Plum pox virus	Stonefruit
Potato black ringspot virus	Potato
Potato deforming mosaic virus	Potato
Potato latent virus	Potato
Potato mop top virus	Potato
Potato rough dwarf virus	Potato
Potato spindle tuber viroid	Avocado/ Potato
Potato virus B	Potato
Potato virus H	Potato
Potato virus M	Potato
Potato virus S	Potato
Potato virus S – Andean strain	Potato
Potato virus V	Potato
Potato virus Y	Potato
Potato yellow blotch virus	Potato
Potato yellow dwarf nucleorhabdovirus	Potato
Potato yellow dwarf virus	Potato
Potato yellow vein virus	Catharanthus roseus/Potato
Potato yellowing virus	Potato
Prunus virus I	Stonefruit
Prunus virus T	Stonefruit
Radish mosaic virus	Brassica oleracea
Ramu stunt virus	Sugarcane
Raspberry latent virus	Rubus
Raspberry leaf blotch virus	Rubus
Raspberry ringspot nepovirus	Ribes/Vitis/Stonefruit/Fragaria
Raspberry ringspot virus	Ribes/Vitis/Stonefruit/Fragaria
Raspberry vein chlorosis virus	Rubus
Rice black streaked dwarf fijivirus	Clonal grasses/Rice
Rice black streaked dwarf virus	Clonal grasses/Rice
Rice dwarf virus	Clonal grasses/Rice
Rice hoja blanca tenuivirus	Clonal grasses/Rice
Rice hoja blanca virus	Clonal grasses/Rice
Rice stripe tenuivirus	Clonal grasses/Rice
Rice stripe virus	Clonal grasses/Rice
Rice tungro bacilliform badnavirus	Clonal grasses/Rice
Rice tungro bacilliform virus	Clonal grasses/Rice
Rice tungro spherical virus	Clonal grasses/Rice
Rice tungro spherical waikavirus	Clonal grasses/Rice
Rubus yellow net virus	Rubus
Satsuma dwarf sadwavirus	Rutaceae
Satsuma dwarf virus	Rutaceae
Solanum apical leaf curling virus	Potato
Sorghum mosaic potyvirus	Grains
Sorghum mosaic virus	Grains
South African cassava mosaic begomovirus	Cassava
South African cassava mosaic virus	Cassava
Stocky prune virus	Stonefruit
Strawberry chlorotic fleck associated virus	Fragaria
Strawberry chlorotic fleck virus	Fragaria
Strawberry crinivirus 3	Fragaria
Strawberry crinivirus 4	Fragaria
Strawberry latent C rhabdovirus	Fragaria
Strawberry latent C virus	Fragaria
Strawberry latent ringspot nepovirus	Ribes/Rubus/Hops/Blueberry/Vitis/Olives/Stonefruit/Fragaria/Prunus
Strawberry latent ringspot sadwavirus	Ribes/Rubus/Hops/Blueberry/Vitis/Olives/Stonefruit/Fragaria/Prunus
Strawberry latent ringspot virus	Ribes/Rubus/Hops/Blueberry/Vitis/Olives/Stonefruit/Fragaria/Prunus
Strawberry leaf curl virus	Fragaria
Strawberry polerovirus 1	Fragaria
Strawberry pseudo mild yellow edge virus	Fragaria
Sugarcane mosaic virus	Sugarcane
Sugarcane streak mosaic virus	Sugarcane
Sugarcane streak virus	Sugarcane
Sunflower chlorotic mottle potyvirus	Sunflower
Sunflower chlorotic mottle virus	Sunflower
Sunflower mosaic potyvirus	Sunflower
Sunflower mosaic virus	Sunflower
Sweet potato caulimovirus	Sweet potato
Sweet potato chlorotic fleck virus	Sweet potato
Sweet potato chlorotic stunt virus	Sweet potato
Sweet potato latent virus	Sweet potato
Sweet potato leaf curl virus	Sweet potato
Sweet potato leaf speckling virus	Sweet potato
Sweet potato mild speckling virus	Sweet potato
Sweet potato mild speckling virus C8	Sweet potato
