Grapevine_fanleaf_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Grapevine_fanleaf_virus,nucl:n.a.,prot:75-80
Grapevine_fleck_virus-endemic	ICTV,Family:Tymoviridae,Genus:Maculavirus,Species:Grapevine_fleck_virus-endemic,nucl:80,prot:90
Grapevine_leafroll_associated_virus_13	ICTV,Family:Closteroviridae,Genus:Ampelovirus,Species:Grapevine_leafroll_associated_virus_13,nucl:n.a.,prot:75
Grapevine_leafroll_associated_virus_1	ICTV,Family:Closteroviridae,Genus:Ampelovirus,Species:Grapevine_leafroll_associated_virus_1,nucl:n.a.,prot:75
Grapevine_leafroll_associated_virus_2	ICTV,Family:Closteroviridae,Genus:Closterovirus,Species:Grapevine_leafroll_associated_virus_2,nucl:n.a.,prot:75
Grapevine_leafroll_associated_virus_3	ICTV,Family:Closteroviridae,Genus:Ampelovirus,Species:Grapevine_leafroll_associated_virus_3,nucl:n.a.,prot:75
Grapevine_leafroll_associated_virus_4	ICTV,Family:Closteroviridae,Genus:Ampelovirus,Species:Grapevine_leafroll_associated_virus_4,nucl:n.a.,prot:75
Grapevine_leafroll_associated_virus_7	ICTV,Family:Closteroviridae,Genus:Velarivirus,Species:Grapevine_leafroll_associated_virus_7,nucl:n.a.,prot:75
Grapevine_red_globe_virus	ICTV,Family:Tymoviridae,Genus:Maculavirus,Species:Grapevine_red_globe_virus,nucl:80,prot:90
Grapevine_rupestris_vein_feathering_virus	ICTV,Family:Tymoviridae,Genus:Marafivirus,Species:Grapevine_rupestris_vein_feathering_virus,nucl:80,prot:90
Grapevine_Syrah_virs-1	ICTV,Family:Tymoviridae,Genus:Marafivirus,Species:Grapevine_Syrah_virs-1,nucl:80,prot:90
Grapevine_Tunisian_ringspot_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Grapevine_Tunisian_ringspot_virus,nucl:n.a.,prot:75-80
Grapevine_vein_clearing_virus	ICTV,Family:Caulimoviridae,Genus:Caulimovirus,Species:Grapevine_vein_clearing_virus,nucl:80,prot:n.a.
Grapevine_virus_B	ICTV,Family:Betaflexiviridae,Genus:Vitivirus,Species:Grapevine_virus_B,nucl:72,prot:80
Grapevine_virus_E	ICTV,Family:Betaflexiviridae,Genus:Vitivirus,Species:Grapevine_virus_E,nucl:72,prot:80
Grapevine_yellow_speckle_viroid_1_(endemic)	ICTV,Family:Pospiviroidae,Genus:Apscaviroid,Species:Grapevine_yellow_speckle_viroid_1_(endemic),nucl:90,prot:n.a.
Hopstunt_viroid	ICTV,Family:Pospiviroidae,Genus:Hostuviroid,Species:Hopstunt_viroid,nucl:90,prot:n.a.
Hop_stunt_viroid ICTV,Family:Pospiviroidae,Genus:Hostuviroid,Species:Hop_stunt_viroid,nucl:90,prot:n.a.
Humulus_japonicus_latent_virus	ICTV,Family:Bromoviridae,Genus:Ilarvirus,Species:Humulus_japonicus_latent_virus,nucl:n.a.,prot:n.a.
Indian_cassava_mosaic_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:Indian_cassava_mosaic_virus,nucl:91,prot:n.a.
Indian_citrus_ringspot_virus	ICTV,Family:Alphaflexiviridae,Genus:Mandarivirus,Species:Indian_citrus_ringspot_virus,nucl:72,prot:80
Indian_peanut_clump_virus	ICTV,Family:Virgaviridae,Genus:Pecluvirus,Species:Indian_peanut_clump_virus,nucl:n.a.,prot:n.a.
Maize_chlorotic_mosaic_virus	ICTV,Family:Tombusviridae,Genus:Machlomovirus,Species:Maize_chlorotic_mosaic_virus,nucl:n.a.,prot:n.a.
Maize_dwarf_mosaic_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Maize_dwarf_mosaic_virus,nucl:76,prot:82
Maize_mosaic_alphanucleorhabdovirus	ICTV,Family:Rhabdoviridae,Genus:Alphanucleorhabdovirus,Species:Maize_mosaic_alphanucleorhabdovirus,nucl:75,prot:n.a.
Maize_rough_dwarf_virus	ICTV,Family:Reoviridae,Genus:Fijivirus,Species:Maize_rough_dwarf_virus,nucl:55,prot:40
Maize_streak_dwarfing_virus	ICTV,Family:Geminiviridae,Genus:Mastrevirus,Species:Maize_streak_dwarfing_virus,nucl:78,prot:n.a.
Maize_white_line_mosaic_virus	ICTV,Family:Tombusviridae,Genus:Aureusvirus,Species:Maize_white_line_mosaic_virus,nucl:n.a.,prot:40-80
Miscanthus_streak_virus	ICTV,Family:Geminiviridae,Genus:Mastrevirus,Species:Miscanthus_streak_virus,nucl:78,prot:n.a.
Moroccan_watermelon_mosaic_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Moroccan_watermelon_mosaic_virus,nucl:76,prot:82
Mulberry_mosaic_leaf_roll_associated_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Mulberry_mosaic_leaf_roll_associated_virus,nucl:n.a.,prot:75-80
Mulberry_ringspot_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Mulberry_ringspot_virus,nucl:n.a.,prot:75-80
Mulberry_vein_banding_virus	ICTV,Family:Peribunyaviridae,Genus:Unclassified_Peribunyaviridae,Species:Mulberry_vein_banding_virus,nucl:n.a.,prot:n.a.
Myrobalan_latent_ringspot_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Myrobalan_latent_ringspot_virus,nucl:n.a.,prot:75-80
Oat_necrotic_mottle_virus	ICTV,Family:Potyviridae,Genus:Tritimovirus,Species:Oat_necrotic_mottle_virus,nucl:76,prot:82
Olive_latent_ringspot_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Olive_latent_ringspot_virus,nucl:n.a.,prot:75-80
Olive_latent_virus_1	ICTV,Family:Tombusviridae,Genus:Necrovirus,Species:Olive_latent_virus_1,nucl:n.a.,prot:87-93
Olive_latent_virus_2	ICTV,Family:Bromoviridae,Genus:Oleavirus,Species:Olive_latent_virus_2,nucl:n.a.,prot:n.a.
Olive_latent_virus_3	ICTV,Family:Tymoviridae,Genus:Marafivirus,Species:Olive_latent_virus_3,nucl:80,prot:90
Olive_mild_mosaic_virus	ICTV,Family:Tombusviridae,Genus:Necrovirus,Species:Olive_mild_mosaic_virus,nucl:n.a.,prot:87-93
Panicum_mosaic_virus	ICTV,Family:Tombusviridae,Genus:Panicovirus,Species:Panicum_mosaic_virus,nucl:n.a.,prot:n.a.
Papaya_leaf_curl_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:Papaya_leaf_curl_virus,nucl:91,prot:n.a.
Papaya_leaf_distortion_mosaic_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Papaya_leaf_distortion_mosaic_virus,nucl:76,prot:82
Papaya_lethal_yellowing_virus	ICTV,Family:Solemoviridae,Genus:Sobemovirus,Species:Papaya_lethal_yellowing_virus,nucl:75,prot:n.a.
Papaya_meleira_virus	ICTV,Family:Totiviridae,Genus:Unclassified_Totiviridae,Species:Papaya_meleira_virus,nucl:n.a.,prot:50
Papaya_mosaic_virus	ICTV,Family:Alphaflexiviridae,Genus:Potexvirus,Species:Papaya_mosaic_virus,nucl:72,prot:80
Papaya_ringspot_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Papaya_ringspot_virus,nucl:76,prot:82
Passiflora_chlorosis_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Passiflora_chlorosis_virus,nucl:76,prot:82
Passionfruit_severe_leaf_distortion_virus	ICTV,Family:Geminiviridae,Genus:Begomovirus,Species:Passionfruit_severe_leaf_distortion_virus,nucl:91,prot:n.a.
Passionfruit_yellow_mosaic_virus	ICTV,Family:Tymoviridae,Genus:Tymovirus,Species:Passionfruit_yellow_mosaic_virus,nucl:80,prot:90
Peach_latent_mosaic_viroid	ICTV,Family:Avsunviroidae,Genus:Pelamoviroid,Species:Peach_latent_mosaic_viroid,nucl:90,prot:n.a.
Peach_mosaic_virus	ICTV,Family:Betaflexiviridae,Genus:Trichovirus,Species:Peach_mosaic_virus,nucl:72,prot:80
Peach_rosette_mosaic_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Peach_rosette_mosaic_virus,nucl:n.a.,prot:75-80
Peanut_clump_virus	ICTV,Family:Virgaviridae,Genus:Pecluvirus,Species:Peanut_clump_virus,nucl:n.a.,prot:n.a.
Peanut_stunt_virus	ICTV,Family:Bromoviridae,Genus:Cucumovirus,Species:Peanut_stunt_virus,nucl:n.a.,prot:n.a.
Pea-seed_borne_mosaic_virus	ICTV,Family:Potyviridae,Genus:Potyvirus,Species:Pea-seed_borne_mosaic_virus,nucl:76,prot:82
Pepino_mosaic_virus	ICTV,Family:Alphaflexiviridae,Genus:Potexvirus,Species:Pepino_mosaic_virus,nucl:72,prot:80
